Type,Restaurant_Name,Review_Title,Sentiment,Rating,Review_Date,Review_Content
Japnese,"Shinji by Kanesaka, Singapore",Poor Marketing Collaboration,-1,30,21-Apr-17,"i have dined at Shinji at Raffles 3 times before, so on invitation of UOB Bank, I have my dinner this time at the Carlton location. I was reminded by my bank manager it's a $300 pp dinner menu, so I look forward to another great experience at Shinji.But I was very disappointed by the outcome, dishes served may have still maintained the standard, but I was surprised that I didn't get a slice of Toro and total dishes served were much lees that lunch in a cheaper menu.On my way out, I questioned the staff on my doubts that the menu worth $300pp, she quickly show me the menu starting price at $300pp, but I asked her why no Toro, no certain hot dishes I used to get etc, she was unable to comments as this is a marketing agreement with the bank etc.Actually I already suspected this kind of marketing dinner will be a modified menu though they claimed at certain price menu. My disappointment is that a premium Michelin star restaurant should not participate such kind of event, but if chose to do it, should serve the exact menu offering as usual but not modified it.Also the Chef is not as sociable as other top end sushi place like Hashida."
Japnese,"Shinji by Kanesaka, Singapore",Good but expensive for what it is,-1,30,8-Jan-17,This was my 2nd visit. 1st time was 2013. Whilst I enjoyed the meal I felt it wasn't the same as the first time.... perhaps different chefs.? The service was a bit cold and I didn't find the chef engaging. Food was good but not as good compared to the likes of hashida or shoukouwa. Pricey for what it is I think.
Japnese,"Shinji by Kanesaka, Singapore",Our experience ,-1,20,21-Dec-16,"The food in the restaurant is good but way too pricey for the quality of service they have. For the shrimp sashimi chef showed us dead and old shrimps saying that they are fresh and joking that they are ""sleeping"". We asked to replace them for fresh ones, however chef just pretended that he changed them, apparently thinking that we are fools. In the meantime, we have been to Nobu, Zuma snd other upscale restaurants which serve japanese/fusion food. We asked him again to change the shrimps and he replied that it is our fault because we got late for our sitting (the sitting was at 9 and we came there by 9:15). Later, we asked to replace this shrimp sashimi for other sushi, and the restaurant included it in the bill as ""extra"". The last and final was the desert (fruit) which was half portion in comparison to what the other customers got, who ordered the same set. Apparently it was also because we got 15 min late. Altogether we paid 750 SGD. No comments. "
Japnese,"Shinji by Kanesaka, Singapore","Good sushi, but a shocking experience",-1,30,2-Sep-16,"I strongly feel that I have to voice this out to warn potential patrons/customers. As much as I love and adore Shinji based on my 2 previous visits, what I encountered today is just unacceptable. As I had a heavy breakfast, I decided to opt for the 9-piece Hana lunch set menu. The head chef then went on to ask me if I like Uni (sea urchin) and said it's currently the Uni season, so the 12-piece set which includes Uni might be better for me. I replied yes, I do like Uni but today I'm feeling slightly full, so just the 9-piece set will do. Then he said 'Okay, I'll make smaller portions of the rice for you.' Thinking that it's just a kind gesture from the chef, I proceeded with my lunch. Slowly, 8 pieces of sushi were served and to my surprise, I was served Uni for the 9th piece. I knew something wasn't right. In the end, I was served 12 pieces of sushi when I have opted for 9 and yup I was charged $125++ for the 12-piece set lunch.Don't get me wrong, the sushis were brilliant, worthy of the michelin star, but I'm not sure if this behaviour is acceptable. So, the next time you decide to have lunch at Shinji, maybe repeat your order so the Chef gets it right, I don't know."
Japnese,"Shinji by Kanesaka, Singapore",Not my best Omakase,-1,30,16-Dec-15,"3rd omakase experience. Came with high expectation because of good reviews I've heard. The sushi and ingredients were certainly very fresh, but freshness is the basic expectation of any Japanese cuisine in my opinion. In terms of artistic presentation, it was mediocre. Taste wise, every dish was good but did not bring me to heaven. Still, Hide remains top on my list. "
Japnese,"Shinji by Kanesaka, Singapore",Lost sushi.,-1,20,7-Dec-15,"I have had the opportunity to try many fine sushi establishment so my review is base on peer to peer comparison. I had high expectations for Shinji but my friend and I were underwhelmed, the fish was fresh although my mackerel had a very strong smell which was distracting. Second, the cut of the fish was wrong. You should be able to chew the fish and not have their tendons spent stuck on your teeth. My friend had to ask for tissue to spit out the tuna which she could not chew. This was unacceptable already. Third, the rolls were not appetizing to your sight. The toro was falling apart. My tuna maki was not cut cleanly and worse of all, rice was stuck outside of the roll. This is something you would expect from the third grade sushi place but not one of this caliber. Fourth, the rice was not delicious. It was not fragrant nor was it warm. When you visit a fine sushi establishment it is usually not the fish that you should be mesmerized by, but for me it is the rice. Shinji did not inspire me. There was no passion in the plating, or care for ingredient. It was as if I went to one of those popular restaurants who know that they are popular and took their eyes off the quality. My plate was never cleaned, the fish was cut recklessly, and overall shameful example of what it should be."
Japnese,"Shinji by Kanesaka, Singapore",Overpiced for what it si,-1,20,10-Jul-15,"Don't think it's worth to spend this much money on sushi. The food was good, don't get me wrong, but it was just way overpriced. There are plenty of other options for great sushi in Singapore to spend your money on/"
Japnese,"Shinji by Kanesaka, Singapore",Is it worth it?,-1,30,24-May-15,"Shinji is not a 2 Michellin star restaurant: its chef has been awarded 2 stars but not for this restaurant. Shinji serves the best sashimi I have ever tasted. Bar none. But in the end, it is raw seafood. Ain't no big deal. Its wine list is limited but its Saki menu is extensive. If you walk out of there for less than $900 Singapore dollars you have done well. If you book a table at the Sushi bar don't expect a private dining experience. I'm pleased we went there but pleased my partner paid. It is so over-rated that I would not go back. But, been there, done that. Tick."
Japnese,"Shinji by Kanesaka, Singapore",Good experience but once is enough,-1,30,16-Apr-15,"At the cost of 300 over dollars per head, I thought I would be served lobster, tuna belly or some horse meat sashimi. But none of the above. Instead , I get run of the mill type of fish like red snapper, tuna , yellowtail and octopus. But to give credit to the chef, the fish served are really fresh and the sea urchin (uni) has got a tinge of sweetness rather than the salty taste usually associated with it. Service and ambience are acceptable. Overall, the quality of food served is good and I never thought i'd say this but the best part of the meal was the fruit dessert. The honey melon was outstanding. It had this soft, translucent texture and tasted of bubble gum and wine. Unfortunately, the portion was small and it left me wanting for more. I would recommend this restaurant only if you or your loved one are celebrating a special occasion and want to splurge. But for the price, for me, once is good enough."
Japnese,"Shinji by Kanesaka, Singapore",Worst service,-1,10,4-Apr-15,Eaten here few times but this time around the chef probably thought too much of their popularity. We paid sgd500 per head and at the end when my wife wanted to order an additional handroll because she was hungry the chef pointed at his wrist and said times up. Basically we had to leave. Food was also served in a hurried manner. Is this the service we expect from a supposedly fine dining restaurant?? Maybe in Singapore but definitely not in Japan.
