Type,Restaurant_Name,Review_Title,Sentiment,Rating,Review_Date,Review_Content
Chinese,LONG BEACH @ DEMPSEY,Excellent Seafood!,positive,50,07/20/15,"Great Place a bit out of the center. Here they serve seafood from around the world, also Norwegian crabs :). This is one high end place with stiff prices. But really worth a visit. Here one should try their speisalitet Pepper crab and chilli crab. Prepare for a delicious taste experience. But that said, this is not for everyone's wallet."
Chinese,Yum Cha Restaurant,Yum Chow!,positive,50,10/22/11,"we liked their crabs , shrimps..everything!!! the staff were also helpful in keeping my son's birthday cake while we wearing still having dinner"
Chinese,LONG BEACH @ DEMPSEY,The best pepper king crab ever!,positive,50,08/28/12,"Do you want to try to eat a huge crub? well this is the right place!1kg crab for few euros. We went there in 7 people. we ordered 5 king crab, 2 portions of prawns, 3 portions of oysters, wine, beers, dessert. In total we spent around 60€ each. Not cheap, but if we would have eat the same in europe the price would have been at least the double."
Japnese,"Shinji by Kanesaka, Singapore",Amazing sushi,positive,50,18-Oct-17,"Traveling regularly to Japan, it has always been difficult to find the same taste in Singapore.But this time, I have found it!What a fantastic omakase prepared by the whole team is sushi masters.It was like a short trip to Japan during a dinner. THE sushi place in Singapore"
French,L_Angelus,"Really disappointing, not worth the value...",negative,20,17-Jan-16,"Really disappointing by our dining experience at l Angelus. Poor food, not the French flavour. The Saint Jacques and calamar as a main was a pure joke, not well cooked, and ridiculously small. 50SGD for this dish is a real joke. No problem to pay more in Singapore but not for this. The creme brulee was just decent. The wine was nice... Will definitely not come again..."
Chinese,Yum Cha Restaurant,Very affordable and delicious dim sum,positive,40,09/13/11,"Nestled in the heart of the Chinatown district, Yum Cha offers a delectable array of authentic Chinese cuisine. During a short vacation, a friend who lives in Singapore highly recommended this place. Me and my friend's family went here for some dim sum feast and we were not disappointed. The dim sums were great and we enjoyed every bite of what we ordered. I especially loved their siew mai, che cheong fun and xiao long fun. Restaurant ambiance was acceptable and the staff were accommodating."
Indian,"Ananda Bhavan, Singapore",Worst food ever,negative,10,29-Jun-18,"If someone asks me what is worst in Singapore then the food in this restaurant is the only thing I can say.
After whole day travelling in Singapore and skipping the lunch, we thought to try our favorite South Indian dish, i.e Idly and Dosa....More"
Chinese,LONG BEACH @ DEMPSEY,Pretty good place for banquet style dining,positive,40,11/14/14,"It's always easy to be positive when someone else pays, which was the case for this visit. That said, we enjoyed our evening very much. We were a large group (9) in a private room. After the appetizers we moved on to chili crab which was delicious. The accompanying sauce was quite thick and tasty. The large prawns were really very good. We also had a chicken dish and fish, both of which were good. The small bowl of fried rice nicely completed the main part of the meal. Desert was presented in a small bowl placed on top of a larger bowl of green liquid with dry ice so that frosty vapors were pluming from around the mango custard. Quite well presented and fun.I understood that the cost was around S$100 per person including plenty of Tiger beers.Definitely worth a visit, even at one's own expense."
Indian,"Newton Hawker Centre, Singapore",can be fun,positive,40,14-Mar-12,Can be fun even if some of the soul in the food has departed after the last renovation a few years back. Still fun eating under the stars... and ignore the touts if you can.
Indian,"Kailash Parbat, Singapore",Best Indian food in SG,positive,50,11-Apr-17,"This has to be certainly the best Indian food SG has to offer. Have been there a dozen times now, at both locations and you can never be disappointed."
Indian,"Newton Hawker Centre, Singapore",Cheaper Eats,positive,50,4-Aug-15,"Have dined at Hawker #19 on two separate Singapore trips & the food & service is always spot on! Their Chilli Crab is delicious, messy & affordable!
The nearby drinks stall is always great, super fast & reasonably priced!"
French,Saveur,"nice food, reasonable price",positive,40,25-Jul-17,"prices are quite reasonable and the food is pretty good
had the chilli crab pasta and the mushroom soup."
Indian,"Murugan Idli Shop, Singapore",Best Idlis in Singapore,positive,40,26-Sep-16,"Murugan Idli is really has the best Idlis in Singapore.
Their Chutneys are really good, and the dosas are crispy.
To be honest, nearly everything on the menus is good, except the coffee.
However the customer service can be lacking at times, the staff tend...More"
French,Saveur,Good quality food at afforable prices,positive,50,21-Dec-16,"Enjoyed the food, good ambiance. We had the set lunch. I had the Saveur pasta, which is very yums. For main course, the famous duck confit and for dessert, they ran out of vanilla ice cream which was in the set, but they replaced with something even better, chocolate mousse with crushed nuts. "
Chinese,LONG BEACH @ DEMPSEY,Ok ,negative,30,10/4/2017,"Not a bad place if you want to enjoy Chinese seafood in Singapore . This place is very popular with tourists, locals and a favorite place to entertain business visitors to Singapore. Overrated.Pricey, but so is everything else in Singapore. There are many other places equally good if not better and cheaper."
Japnese,"Waku Ghin, Singapore",Really Remarkable - but very expensive,positive,50,16-Jul-13,"Having enjoyed Tetsuya in Sydney - we were very pleased to find Waku Ghin in Singapore. Although still a restaurant run by the same chef/owner, the overall experience was completely different. While we knew it was going to be expensive, especially with the matched wine course - we were very surprised when the bill arrived. We do not research the prices before picking a place - because we may financially talk ourselves out of a great experience. This was a very good experience, but the 1600USD for dinner for two with wine felt a little more than over the top. Each course was extraordinary, building flavors and textures at each pass. The chef we had was very engaging - but not overly involved in our experience - which i appreciated. We also did not engage in any way with the couple in our room. In hindsight, knowing what we paid - I am happy not to have shared the night with strangers - maybe I am anti-social - but this is truely a once in a very long while type of experience. I am surprised to read that the menu does not change much - our chef indicated that Tetsuya is in residence at least once a month for several days. If I were to repeat the meal and have the same meal - I would be very disappointed. The signature dishes (Botan shrimp with sea urchin and oscietra caviar and the Australia abalone with fregola and tomato) were incredible, as was the shaved kobe beef. Our timing was very good - as we were able to watch the early 9pm(ish) light show at MBS. I was surprised to be charged 10SIN for an expresso at the end - felt like being nickeled after spending 1.6 thousand...... I would not repeat - but would recommend to friends for a very special experience. There are many Michelin-star restaurants that are equal or better for much better value. I will though always return to Tetsuya in SYD - each and every trip."
