Type,Restaurant_Name,Review_Title,Sentiment,Rating,Review_Date,Review_Content
Indian,"Muthu's Curry @ Dempsey, Singapore",Bad Service + Good Food = Bad Outing!!,-1,10,21-Jun-15,"We are regular of the Muthu Curry joint, especially the one at Dempsey.
Today we had a very Disappointing experience. Was there with close family to celebrate Father's Day & A Birthday. At the end we intended to cut a Cake but the staff SWITCHED...More"
Indian,"Muthu's Curry @ Dempsey, Singapore","Good taste, but poor hospitality",-1,20,6-Jun-15,"I visited this restaurant with my friends from oversea. We arrived around 8pm, dinner peak-time. We waited drink 30 mins and asked staffs to serve a few times. However they didn't bring our drink even though they said OK. After 30 mins (totally 1 hour),...More"
Indian,"Muthu's Curry @ Dempsey, Singapore",So so Food with Bad Service,-1,20,14-Apr-15,Decided to try out Muthu's Curry. We had initially intended to go Samy's Curry but unfortunately closed. Food served nothing to shout. Average normal Indian Restaurant. I bet those in Serangoon Road smaller shops are better. Service sucks. Ask for rice to be replenished but...More
Indian,"Muthu's Curry @ Dempsey, Singapore",Good food ,-1,30,3-Apr-15,Just another good Indian restaurant. Came here with friends for catch up & enjoy Indian food. Affordable price ????????
Indian,"Muthu's Curry @ Dempsey, Singapore",Terrible tepid tasteless ,-1,20,12-Feb-15,"I would not recommend this restaurant to anyone. Food was tepid, rice was cold, curry was tasteless, chef could not add spice apparently. Very disappointing. Only good thing is nice setting outside and decor in but it's s restaurants hence food is primary and food...More"
Indian,"Muthu's Curry @ Dempsey, Singapore",Pushy waiter,-1,30,8-Feb-15,"We came here for a Sunday lunch and to be honest the food was excellent. Unfortunately however it seems they are not making enough profit as the waiter who served us pushed us into ordering more dishes than we actually wanted, with the excuse that...More"
Indian,"Muthu's Curry @ Dempsey, Singapore",Food didn't make up for the poor service but excellent setting.,-1,20,5-Feb-15,"Set in a fantastic setting, this restaurant could be a star. The evening was ruined by poor service, not by isolated persons but all. The staff were uninterested and unhappy to be there and not all attentive to the customer. Food was average but well...More"
Indian,"Muthu's Curry @ Dempsey, Singapore",Not bad.,-1,30,29-Jan-15,It's a nice place. Curry fish head is not that bad. But we had to keep asking for side dishes which were cold. Service was so so.
Indian,"Muthu's Curry @ Dempsey, Singapore",Food is living in past glory,-1,20,1-Jan-15,"Food quality is below average and the expansion in the number of outlets ha degraded quality of food.
Between the two of us we Had three dishes with one being average, one abominable and the third passably edible."
Indian,"Muthu's Curry @ Dempsey, Singapore",Pricey good food,-1,30,25-Dec-14,The food at Muthus curry is quite tasty. However the drawback is that they are over priced especially for budget travellers. Both the veg and non veg fare tastes good and they are famous for the fish head curry which costs around 30$. A good...More
Indian,"Muthu's Curry @ Dempsey, Singapore",Just okay,-1,30,9-Dec-14,"Northern Indian cuisine, reasonably well prepared, but the most enjoyable dish was the naan bread. The rice was nicely fluffy and separated, but the rest of the dishes were forgettable (not bad, just not memorable). Service was prompt."
Indian,"Muthu's Curry @ Dempsey, Singapore",Average Indian food,-1,30,26-Nov-14,The place is rather kind of fast food. Service is quite nice taking into consideration fast food - for restaurant is not acceptable. The food is really average and prepare in advance so impression is not good. Although I have to admitt that it is...More
Indian,"Muthu's Curry @ Dempsey, Singapore",Suntec City branch - avoid,-1,20,29-Oct-13,"I'm a big fan of Muthus and frequent the Racecourse Road outlet frequently. I will not however be returning to the Suntec City branch anytime soon. The service was so appalling it basically destroyed our meal.
Countless times we asked where our drinks and food...More"
Indian,"Muthu's Curry @ Dempsey, Singapore",Not bad,-1,30,13-Oct-13,"Started off with a waiter who did not seem to understand us. Fortunately he was replaced without any request from us. Food was OK, not served steaming hot as I expected. Taste was average
Not expensive, very affordable. Review would have been better if the...More"
Indian,"Muthu's Curry @ Dempsey, Singapore",overrated,-1,20,1-Oct-13,"ordered medium fish head curry on a weekday night, gravy wasn't heated up at all(room temperature), taste was sub par, spices were way too strong and not balanced, quite ""one note"" taste(of strong spice), very little complexity. for the price there are many other options...More"
Indian,"Muthu's Curry @ Dempsey, Singapore",Don't Bother,-1,20,19-Jun-13,"This was recommended as a good Indian Restaurant. Don't bother, it is cafeteria style, sort of. All food is prepared ahead of time and sitting in trays under the glass, like a cafeteria. You order off a menu and it is delivered, but sub par...More"
Indian,"Muthu's Curry @ Dempsey, Singapore",Average on high budget,-1,30,2-Jun-13,"I went with friends to the branch at Dempsey Road. We ordered the recommended reviewed Fish head curry, with others: chicken tikka massala, Mango lassi, and rice.
The fish head curry was average. The same taste can be found in many places in Singapore. The...More"
Indian,"Muthu's Curry @ Dempsey, Singapore",posh atmosphere with bad service,-1,10,1-Jun-13,"I love indian food- that's why i m here...honestly food is good in general, however i couldnt imagine i stood in front of their staff for 25mins at the front door, and no one attend to us until i made a complain to get a...More"
Indian,"Muthu's Curry @ Dempsey, Singapore",Too expensive for the food n Service is super bad,-1,30,15-May-13,The ambience is porsh. but service is bad n they dont understand what does indian food means. They dont even serve the 3 main vege's which should come in the banana leaf. Everything is chargable. Plus if you were to ask water they just take...More
Indian,"Muthu's Curry @ Dempsey, Singapore",Not fresh food - billed wrongly,-1,10,28-Apr-13,My husband and I were on the lookout for a relaxed evening dinner after a nice movie and after walking on race course road picked muthu's. One of the reasons we chose this place was that it was quite full and we saw quite a...More
Indian,"Muthu's Curry @ Dempsey, Singapore","muthus is good , can be better",-1,30,9-Apr-13,"the food sometimes tastes and looks pre-cooked long back : can it be made to look fresher and taste tangier ? sometimes I feel the food 25 years ago in the old layout was tasting better or is my tongue misleading me ? nevertheless, the...More"
