Type,Restaurant_Name,Review_Title,Sentiment,Rating,Review_Date,Review_Content
Indian,"Murugan Idli Shop, Singapore",Soft hot sponges!,1,40,26-Oct-10,Home made idlies to the best! With varieties of condiments...so YUM!!!
Indian,"Murugan Idli Shop, Singapore",Excellent Idli,1,50,17-Aug-10,"I have never had such a soft idli's in my life, try it with podi and oil..it tastes awesome...Cheap and tasty..Located opp Mustafa Shopping Centre..Near Farrer Park MRT Station."
Indian,"Murugan Idli Shop, Singapore",perfect for a weekend breakfast- if you love idlis!!!!!,1,40,14-Apr-10,one of the best places in Singapore for idlis and the perfect cuppa south indian filter coffee. go with an open mind- the place is tiny and a no-frills restaurant. but the food more than makes up for it. very economical. very limited menu though!
Indian,"Murugan Idli Shop, Singapore",Amazing authentic fare,1,50,20-Apr-09,"Fresh, hot, tasty, sinfully buttery!
Super idlis, the best most delicious dosas, a range of authentic chutneys.
Clean though sparse and basic - just the perfect super clean udippi....that's rare!!"
Indian,"Riverwalk Tandoor, Singapore","Decent visit for a family,Nice decor and location in quay",1,40,6-Oct-18,My professor hosted annual getogether at the restaurant.Decor is a balance of colours by a blend of dark shades with comfortable hues of light colours.Buffet option was a delight with both veg and non veg options.The dessert options can be improved though.Just gulab jamun and...More
Indian,"Riverwalk Tandoor, Singapore",Nice location at quays,1,40,5-Aug-18,Nice place to have an Indian dinner usually it’s a buffet spread with veg and non veg fare location is superb you can enjoy stroll after your dinner at Clarke quay
Indian,"Riverwalk Tandoor, Singapore",Good restaurant for get together or birthday celebrations ,1,40,6-Jun-18,"This restaurant offers buffet as well ala carte service. It is worth to go for buffet dinner,multiple options for vegetarian and non vegetarians.
Jamoon taste was too good. Also they serves alcohol. In snacks they offers pani puri and Samosa. Overall this restaurant is good...More"
Indian,"Riverwalk Tandoor, Singapore",Satisfactory,1,40,26-Apr-18,"We went in a group and had buffet. Everything was delicious. Specially, I liked Paneer curry. Atmosphere was good, service also good. We enjoyed the dinner."
Indian,"Riverwalk Tandoor, Singapore",Best Chicken Tikka in Singapore!,1,40,18-Mar-18,"I visited RWT with my family for a buffet lunch. The variety of the dishes included in the buffet spread was good for both veg and non-veg eaters. The sweet dish, Gajar Halwa, was not be best and could be improved upon by heaps. The...More"
Indian,"Riverwalk Tandoor, Singapore",Dinner buffet,1,50,4-Mar-18,"Excellent indian food, with good starters, mains, and desserts. Must try garlic naan.
Atmosphere is great.
Located at Singapore’s central area, by the Singapore river."
Indian,"Riverwalk Tandoor, Singapore",Great Dinner,1,40,17-Feb-18,Restaurant its really good very beautiful location nut its too crowded since they cater for big indian groups so the food quality is really nice but only thing is too crowded so its great for family and couple as well
Indian,"Riverwalk Tandoor, Singapore",best tandoori in town,1,40,22-Jan-18,the food is well prepared and extremely tasty with great vegetarian options. beware of the naan basket --you could find yourself with 16!!!
Indian,"Riverwalk Tandoor, Singapore",Meet up with friends,1,40,9-Dec-17,"Just had a great dinner here, this place has been around for years I used to come here many years ago, but stopped as the standards started to drop.
However the place as been newly renovated and the lay out is very nice.
The food...More"
Indian,"Riverwalk Tandoor, Singapore",Tandoori nights,1,50,4-Oct-17,"The restaurant went through renovations since visited them few years ago. New interior looks nice. We ordered dinner buffet. Price was reasonable after an inhouse promotion. The buffet spread was good, enough variety to choose from for non-vegetarians and vegetarian person. Lamb vindalu is highly...More"
Indian,"Riverwalk Tandoor, Singapore","Costly , taste is average ",1,40,2-Oct-17,"After renovation ambience is better but cost is on higher side for the food they serve. Buffet is not worth the money, if you are slightly late food might be cold . A La Carte food is average, more oil doesn't allow you to have...More"
Indian,"Riverwalk Tandoor, Singapore",Excellent,1,50,14-Aug-17,This restaurant was right across from our hotel so we thought we would give it a try. It was an inspired choice. The restaurant was simply decorated but the food and service were outstanding. The meals were delicious and even with alcoholic drinks our bill...More
Indian,"Riverwalk Tandoor, Singapore",Fantastic Value-for-Money North Indian Buffet,1,40,24-Jul-17,"I've visited this place multiple times, located very conveniently in the Clarke Quay area, usually before a night out with friends for a few drinks.
The food is good, atmosphere is clean, and definitely value-for-money. Never had any problem with the service staff either. Naan...More"
Indian,"Riverwalk Tandoor, Singapore",Expensive but excellent tandoori,1,40,17-Jun-17,"I started with the samosas which seemed rather bland, so I was a bit worried, but then the garlic naan was great and the tandoori chicken was just fantastic, perfect texture and great flavouring. So, it's excellent food but you can certainly get this good...More"
Indian,"Riverwalk Tandoor, Singapore",Lunch buffet ,1,40,17-Jun-17,It's Northern Indian cuisine lunch buffet for our excursion with a total 40 pax. It's a good experience for Indian dining for dishes full of spices. Nice table setup and the service is good. Saw the banner with a promotion price now at $16/pax for...More
Indian,"Riverwalk Tandoor, Singapore",Excellent Indian buffet ,1,40,8-Jun-17,"We were group of 40.
We had dinner buffet. The Crispy Karela (bitter gourd) Was deliciously awesome.
Good spread of vegetarian dishes. However the Peshawari halwa got over and they served normal halwa"
Indian,"Riverwalk Tandoor, Singapore","excellent food , good location ,good buffet range",1,50,25-May-17,"excellent food , good location ,good buffet range, nice staff too definitely recommend for Indian cuisine lovers."
Indian,"Riverwalk Tandoor, Singapore",Value for money,1,40,5-Apr-17,I have visited Riverwalk Tandoor couple of times and it serves really good vegetarian food (since I'm vegetarian). The unlimited buffet served at the restaurant is value for money and the best part is breads (naan/roti)are served fresh from the tandoor as required. Definitely a...More
Indian,"Riverwalk Tandoor, Singapore",Good value for money,1,40,20-Mar-17,"Wife and I had a buffet lunch here. Value for money place, considering that the Clarke Quay area is generally expensive. Good spread available for the buffet. Crowds of Indian patrons (like myself) indicates authentic taste. :)"
Indian,"Riverwalk Tandoor, Singapore",Tasty food in scenic view,1,50,28-Feb-17,"Very tasty Indian food in a cosy atmosphere in all seasons, prompt and efficient service, courteous staff and enough seats for rush hours also."
Indian,"Riverwalk Tandoor, Singapore",Dinner,1,40,9-Feb-17,This place is near Clarke Quay MRT. Its good for a large group too. They have buffet as well as a la carte. We ordered from the menu. The food was hot and good. Not too spicy or oily. We sat outdoors facing the river.
Indian,"Riverwalk Tandoor, Singapore",Buffet lunch with friends,1,40,13-Jan-17,"Enjoyed our buffet lunch in this very spacious and well decorated modern tandoori restaurant, food was very good with plenty of dishes very attentive waiters"
Indian,"Riverwalk Tandoor, Singapore",Quality than Quantity ,1,50,7-Dec-16,Restaurant is beautifully placed for you to choose river facing (outdoor) or air conditioned seating. This restaurant is totally not about the quantity but the extreme powerful and vast colours of taste and fragrance. Naan is served to you fresh automatically everytime your basket is...More
Indian,"Riverwalk Tandoor, Singapore",River walk tandoor,1,40,22-Oct-16,As the name says it is beside the Singapore river . The food and buffet is good . It is very popular with the tour groups and office people .
Indian,"Riverwalk Tandoor, Singapore",Second visit,1,40,1-Oct-16,We came here with our daughters a few years ago so decided to look it up again for just the two of us. We had been starved of spicy food for 4 weeks in France (cheese is nice but there is a limit) so we...More
Indian,"Riverwalk Tandoor, Singapore",Excellent food,1,50,29-Aug-16,"Food was amazing.
Had biryani and paneer kadhai, very good authentic Indian restaurants.
Average 30-35SGD$ for couples"
Indian,"Riverwalk Tandoor, Singapore",Veg delight,1,40,13-Jul-16,"The location of the restaurant is awesome with amazing outside river views. Located near Bumboat river cruise..u will find the Indian Punjabi traditional theme outside the restaurant. We had business lunch over 30 people. Food was very good. We tried Paneer, daal, pulao, naans, desserts...More"
Indian,"Riverwalk Tandoor, Singapore",Well cooked and inexpensive,1,40,10-Jul-16,We went here for the all you can eat at dinnertime. We were given entrees to eat at the table which were great then helped ourselves to some mains. The food was great though there were only a couple of meat dishes to choose from...More
Indian,"Riverwalk Tandoor, Singapore",Reasonable price buffet..,1,40,28-Jun-16,"The buffet is available at very reasonable price. Nans (type of roti) were given unlimited.1 Soup, desserts were available. No separate drinks. It can be ordered at additional price. Overall, good buffet at economical price."
Indian,"Riverwalk Tandoor, Singapore","Good food, great ambience, friendly staff",1,50,24-Jun-16,RWT is centrally located and specialises in Indian food. The food is not spicy and hence suited our palate. A bit expensive but the taste makes up for it. Do try the Goan fish curry with a glass of Lassi!
Indian,"Riverwalk Tandoor, Singapore",Affordable and Good Service,1,50,5-May-16,Affordable north indian buffet spread. Good scenario on the outside but not in the inside. Otherwise good service from the waitress.
Indian,"Riverwalk Tandoor, Singapore",Lunch,1,40,28-Dec-15,"Delicious and authentic North Indian food- naan, briyani and steamed rice, served with different dishes- including few vegetarian dishes. Meat is obtained from a halal supplier but no Halal certificate is displayed as they serve liquor. Good service."
Indian,"Riverwalk Tandoor, Singapore",Awesome experience????,1,50,5-Dec-15,"The food is authentic Indian Cuisine and the crew service is so good, fantastic buffet, worth every penny, perfect if you are coming with your friends during the weekends."
Indian,"Riverwalk Tandoor, Singapore",Indian food at Clark Quay,1,40,27-Nov-15,Hotel by the riverside serving nice Indian food. The taste and ambience is good. Staff is courteous too.
Indian,"Riverwalk Tandoor, Singapore",Good place to dine...,1,40,14-Nov-15,I have been visiting Riverwalk Tandoor for more than 10 years.... I have never been disappointed! Good quality is good and very consistent... Staff is very courteous and friendly.
